uid,version,timestamp_load,time_on_page,time_to_first_click,mouse_move_distance,num_clicks,did_misclick,did_succeed
236603,B,1709855143001,3115,,2341.2461489760813,0,false,false
386763,B,1709855341455,14902,1462,2735.460943041212,3,false,true
628196,B,1709855400341,9003,6143,2545.6738883223115,2,false,true
238305,B,1709855425439,5317,3169,2322.058474813311,2,false,true
291389,B,1709855442917,8797,3909,3242.0452726821036,3,false,true
43297,B,1709855467589,9223,6672,2942.242926824324,2,false,true
366311,B,1709855482916,8004,5233,3227.14326064947,2,false,true
506298,B,1709855500047,7137,3784,5570.786966026442,2,false,true
599407,B,1709855520201,9711,6763,4963.85611787817,2,false,true
600125,B,1709855571894,7001,4384,2644.59687127962,2,false,true
490225,B,1709855586368,8524,5147,4987.130682036001,2,false,true
56712,B,1709855605119,8860,5744,2316.7185242070786,2,false,true
78722,B,1709855629181,4718,2697,2596.603713443983,2,false,true
273673,B,1709855651054,8993,3342,7139.345907924665,4,true,true
835544,B,1709855698093,8069,5695,2760.2803867705456,2,false,true
167379,B,1709855711358,5602,2212,3476.385755717456,3,false,true
973415,B,1709855728854,5628,3358,2684.0814958576507,2,false,true
929124,B,1709855737512,5700,2467,3205.931689009245,2,false,true
268077,B,1709855752058,5868,3519,2548.6252734256313,2,false,true
48313,B,1709855761293,5663,3217,4499.988455840569,2,false,true
933976,B,1709855799116,5171,3788,1643.4694349788676,2,false,true
